Level 1,Level 2,Level 3,Result Folder,Result File,IoU,Chamfer Distance
buis_recht,recht_versmal_kort,sdf.obj,voxelData_schijf_links_4,2.obj,-1,0.10432387984710013
buis_recht,recht_versmal_kort,gt.obj,voxelData_schijf_links_4,1.obj,-1,0.08280663275991579
buis_recht,recht_versmal_kort,gt.obj,voxelData_schijf_links_4,0.obj,-1,0.08156856733523246
buis_recht,recht_versmal_kort,gt.obj,voxelData_schijf_links_4,2.obj,-1,0.08024740313564085
buis_recht,recht_bocht_60+90,sdf.obj,voxelData_schijf_links_4,1.obj,-1,0.15078505435129397
buis_recht,recht_bocht_60+90,sdf.obj,voxelData_schijf_links_4,0.obj,-1,0.13705924497697514
buis_recht,recht_bocht_60+90,sdf.obj,voxelData_schijf_links_4,2.obj,-1,0.14262620543514506
buis_recht,recht_bocht_60+90,gt.obj,voxelData_schijf_links_4,1.obj,-1,0.14033794898350754
buis_recht,recht_bocht_60+90,gt.obj,voxelData_schijf_links_4,0.obj,-1,0.128064892975511
buis_recht,recht_bocht_60+90,gt.obj,voxelData_schijf_links_4,2.obj,-1,0.13374644402320812
buis_recht,recht_bocht_60,sdf.obj,voxelData_schijf_links_4,1.obj,-1,0.11615707761624619
buis_recht,recht_bocht_60,sdf.obj,voxelData_schijf_links_4,0.obj,-1,0.11007018699148899
buis_recht,recht_bocht_60,sdf.obj,voxelData_schijf_links_4,2.obj,-1,0.10879998981293733
buis_recht,recht_bocht_60,gt.obj,voxelData_schijf_links_4,1.obj,-1,0.11375597438504968
buis_recht,recht_bocht_60,gt.obj,voxelData_schijf_links_4,0.obj,-1,0.10979332479570839
buis_recht,recht_bocht_60,gt.obj,voxelData_schijf_links_4,2.obj,-1,0.10685469468605843
buis_recht,recht_S_30,sdf.obj,voxelData_schijf_links_4,1.obj,-1,0.07243436248301771
buis_recht,recht_S_30,sdf.obj,voxelData_schijf_links_4,0.obj,-1,0.07118332066727173
buis_recht,recht_S_30,sdf.obj,voxelData_schijf_links_4,2.obj,-1,0.06996235452677019
buis_recht,recht_S_30,gt.obj,voxelData_schijf_links_4,1.obj,-1,0.07409032002941679
buis_recht,recht_S_30,gt.obj,voxelData_schijf_links_4,0.obj,-1,0.0702127425460611
buis_recht,recht_S_30,gt.obj,voxelData_schijf_links_4,2.obj,-1,0.07122184899825633
buis_recht,recht_bocht_90,sdf.obj,voxelData_schijf_links_4,1.obj,-1,0.1557831523440905
buis_recht,recht_bocht_90,sdf.obj,voxelData_schijf_links_4,0.obj,-1,0.15616183789465543
buis_recht,recht_bocht_90,sdf.obj,voxelData_schijf_links_4,2.obj,-1,0.15823224963020935
buis_recht,recht_bocht_90,gt.obj,voxelData_schijf_links_4,1.obj,-1,0.14920341728245384
buis_recht,recht_bocht_90,gt.obj,voxelData_schijf_links_4,0.obj,-1,0.1519076346666365
buis_recht,recht_bocht_90,gt.obj,voxelData_schijf_links_4,2.obj,-1,0.1515001488127524
buis_rond,rond_S_45,sdf.obj,voxelData_schijf_links_4,1.obj,-1,0.10791099197359263
buis_rond,rond_S_45,sdf.obj,voxelData_schijf_links_4,0.obj,-1,0.11201381602181937
buis_rond,rond_S_45,sdf.obj,voxelData_schijf_links_4,2.obj,-1,0.10980462320393056
buis_rond,rond_S_45,gt.obj,voxelData_schijf_links_4,1.obj,-1,0.101560801486855
buis_rond,rond_S_45,gt.obj,voxelData_schijf_links_4,0.obj,-1,0.1049133369140202
buis_rond,rond_S_45,gt.obj,voxelData_schijf_links_4,2.obj,-1,0.10183216428984805
buis_rond,rond_bocht_45,sdf.obj,voxelData_schijf_links_4,1.obj,-1,0.12855646956961858
buis_rond,rond_bocht_45,sdf.obj,voxelData_schijf_links_4,0.obj,-1,0.11914800930015298
buis_rond,rond_bocht_45,sdf.obj,voxelData_schijf_links_4,2.obj,-1,0.11801395894316496
buis_rond,rond_bocht_45,gt.obj,voxelData_schijf_links_4,1.obj,-1,0.11844756449135216
buis_rond,rond_bocht_45,gt.obj,voxelData_schijf_links_4,0.obj,-1,0.11019168724946979
buis_rond,rond_bocht_45,gt.obj,voxelData_schijf_links_4,2.obj,-1,0.11316187791057902
buis_rond,rond_versmal_kort,sdf.obj,voxelData_schijf_links_4,1.obj,-1,0.16539257716549774
buis_rond,rond_versmal_kort,sdf.obj,voxelData_schijf_links_4,0.obj,-1,0.16337534432809075
buis_rond,rond_versmal_kort,sdf.obj,voxelData_schijf_links_4,2.obj,-1,0.1698060459572917
buis_rond,rond_versmal_kort,gt.obj,voxelData_schijf_links_4,1.obj,-1,0.15295855858109808
buis_rond,rond_versmal_kort,gt.obj,voxelData_schijf_links_4,0.obj,-1,0.15264127294007196
buis_rond,rond_versmal_kort,gt.obj,voxelData_schijf_links_4,2.obj,-1,0.15682295543608354
buis_rond,rond_bocht_45+45,sdf.obj,voxelData_schijf_links_4,1.obj,-1,0.14212891735239566
buis_rond,rond_bocht_45+45,sdf.obj,voxelData_schijf_links_4,0.obj,-1,0.13956659375595523
buis_rond,rond_bocht_45+45,sdf.obj,voxelData_schijf_links_4,2.obj,-1,0.1403188509645374
buis_rond,rond_bocht_45+45,gt.obj,voxelData_schijf_links_4,1.obj,-1,0.1304403155844714
buis_rond,rond_bocht_45+45,gt.obj,voxelData_schijf_links_4,0.obj,-1,0.12935155484300673
buis_rond,rond_bocht_45+45,gt.obj,voxelData_schijf_links_4,2.obj,-1,0.12707762738845052
buis_rond,rond_verzamel,sdf.obj,voxelData_schijf_links_4,1.obj,-1,0.05997826520234759
buis_rond,rond_verzamel,sdf.obj,voxelData_schijf_links_4,0.obj,-1,0.06179003173910351
buis_rond,rond_verzamel,sdf.obj,voxelData_schijf_links_4,2.obj,-1,0.06533719160660338
buis_rond,rond_verzamel,gt.obj,voxelData_schijf_links_4,1.obj,-1,0.04763229566750863
buis_rond,rond_verzamel,gt.obj,voxelData_schijf_links_4,0.obj,-1,0.048415472726161916
buis_rond,rond_verzamel,gt.obj,voxelData_schijf_links_4,2.obj,-1,0.04996529945275434
buis_rond,rond_bocht_30,sdf.obj,voxelData_schijf_links_4,1.obj,-1,0.11061748686955716
buis_rond,rond_bocht_30,sdf.obj,voxelData_schijf_links_4,0.obj,-1,0.11113354638722732
buis_rond,rond_bocht_30,sdf.obj,voxelData_schijf_links_4,2.obj,-1,0.11547075500534625
buis_rond,rond_bocht_30,gt.obj,voxelData_schijf_links_4,1.obj,-1,0.09908806237633562
buis_rond,rond_bocht_30,gt.obj,voxelData_schijf_links_4,0.obj,-1,0.09832200558523099
buis_rond,rond_bocht_30,gt.obj,voxelData_schijf_links_4,2.obj,-1,0.10256603578435908
buis_rond,rond_bocht_90+90,sdf.obj,voxelData_schijf_links_4,1.obj,-1,0.06163738407101274
buis_rond,rond_bocht_90+90,sdf.obj,voxelData_schijf_links_4,0.obj,-1,0.06788009679065682
buis_rond,rond_bocht_90+90,sdf.obj,voxelData_schijf_links_4,2.obj,-1,0.06050079633622448
buis_rond,rond_bocht_90+90,gt.obj,voxelData_schijf_links_4,1.obj,-1,0.059470767652055403
buis_rond,rond_bocht_90+90,gt.obj,voxelData_schijf_links_4,0.obj,-1,0.05941702089037802
buis_rond,rond_bocht_90+90,gt.obj,voxelData_schijf_links_4,2.obj,-1,0.05315814721116796
buis_rond,rond_recht,sdf.obj,voxelData_schijf_links_4,1.obj,-1,0.08734955703703627
buis_rond,rond_recht,sdf.obj,voxelData_schijf_links_4,0.obj,-1,0.08921476328179039
buis_rond,rond_recht,sdf.obj,voxelData_schijf_links_4,2.obj,-1,0.0884909743349486
buis_rond,rond_recht,gt.obj,voxelData_schijf_links_4,1.obj,-1,0.0695546296865241
buis_rond,rond_recht,gt.obj,voxelData_schijf_links_4,0.obj,-1,0.07161915170467018
buis_rond,rond_recht,gt.obj,voxelData_schijf_links_4,2.obj,-1,0.07138671385347069
buis_rond,rond_bocht_15,sdf.obj,voxelData_schijf_links_4,1.obj,-1,0.1052506695899412
buis_rond,rond_bocht_15,sdf.obj,voxelData_schijf_links_4,0.obj,-1,0.10882357185570599
buis_rond,rond_bocht_15,sdf.obj,voxelData_schijf_links_4,2.obj,-1,0.10890660134859664
buis_rond,rond_bocht_15,gt.obj,voxelData_schijf_links_4,1.obj,-1,0.08596567340360642
buis_rond,rond_bocht_15,gt.obj,voxelData_schijf_links_4,0.obj,-1,0.08942131907463725
buis_rond,rond_bocht_15,gt.obj,voxelData_schijf_links_4,2.obj,-1,0.09053316252303445
buis_rond,rond_T_90,sdf.obj,voxelData_schijf_links_4,1.obj,-1,0.11907578726458931
buis_rond,rond_T_90,sdf.obj,voxelData_schijf_links_4,0.obj,-1,0.11617160218896927
buis_rond,rond_T_90,sdf.obj,voxelData_schijf_links_4,2.obj,-1,0.11694068691871859
buis_rond,rond_T_90,gt.obj,voxelData_schijf_links_4,1.obj,-1,0.09668773949991341
buis_rond,rond_T_90,gt.obj,voxelData_schijf_links_4,0.obj,-1,0.09331266931460325
buis_rond,rond_T_90,gt.obj,voxelData_schijf_links_4,2.obj,-1,0.09508286793509285
buis_rond,rond_bocht_45+90,sdf.obj,voxelData_schijf_links_4,1.obj,-1,0.12251845080985863
buis_rond,rond_bocht_45+90,sdf.obj,voxelData_schijf_links_4,0.obj,-1,0.12541838150747095
buis_rond,rond_bocht_45+90,sdf.obj,voxelData_schijf_links_4,2.obj,-1,0.12554544956672284
buis_rond,rond_bocht_45+90,gt.obj,voxelData_schijf_links_4,1.obj,-1,0.11010515926716835
buis_rond,rond_bocht_45+90,gt.obj,voxelData_schijf_links_4,0.obj,-1,0.11106905823049379
buis_rond,rond_bocht_45+90,gt.obj,voxelData_schijf_links_4,2.obj,-1,0.11173752202796608
buis_rond,rond_S_30,sdf.obj,voxelData_schijf_links_4,1.obj,-1,0.08121294878726285
buis_rond,rond_S_30,sdf.obj,voxelData_schijf_links_4,0.obj,-1,0.07938795974831941
